COD_MUN	COD_DEPTO	nbi	msnm
86320	86	51.11089	361
5148	5	17.95616	2150
19100	19	67.00062	1700
5079	5	21.72874	1305
18753	18	53.98063	250
95001	95	42.40459	189
68679	68	11.14	1117
25126	25	12.73772	2558
5250	5	50.75461	50
5631	5	6.838155	1600
5376	5	13.75298	2143
23182	23	53.77808	122
17873	17	12.49947	1944
23068	23	61.54869	26
13468	13	51.62512	20
5440	5	14.56088	2088
88001	88	42.4528	20
86568	86	30.70082	253
73168	73	47.6475	853
5380	5	11.63605	1764
70713	70	65.10306	34
8078	8	26.81753	116
5147	5	43.16624	34
76563	76	23.80073	1058
19573	19	18.0454	1000
13442	13	59.98514	12
17174	17	18.58036	1378
47555	47	63.60975	14
76248	76	18.68504	988
52678	52	58.03037	1450
15572	15	39.31081	144
23189	23	61.84373	13
50313	50	27.62748	333
70708	70	58.12355	20
5490	5	77.80316	6
20013	20	51.43758	131
50006	50	22.67979	523
41396	41	44.51321	1018
15176	15	17.86932	2565
76275	76	21.62512	1038
47245	47	63.64659	35
47980	47	44.22479	20
70215	70	44.84469	150
5212	5	9.752891	1400
25286	25	13.41074	2548
13052	13	58.83276	62
47288	47	44.13585	45
13836	13	49.62344	179
25430	25	13.61956	2550
5129	5	13.01516	1751
44560	44	79.74842	3
25473	25	11.05877	2543
13244	13	93.44722	155
66682	66	19.24668	1701
23555	23	58.45458	87
23670	23	82.46787	117
63130	63	14.45871	1537
73268	73	27.92772	323
54405	54	18.73472	403
17380	17	25.07334	176
76130	76	14.50769	975
81001	81	33.7285	128
41298	41	30.9302	830
54874	54	22.84954	435
5172	5	40.15412	31
23466	23	45.11231	39
54518	54	15.04694	2288
19698	19	33.59858	1071
23162	23	50.4292	12
25307	25	20.09385	289
23807	23	73.29467	51
8638	8	39.14104	99
23660	23	53.8019	83
54498	54	26.16151	1205
20011	20	41.89823	152
76892	76	17.94504	998
5615	5	12.46203	2088
76364	76	15.62613	970
25175	25	7.111874	2557
25899	25	13.0009	2611
15238	15	8.993239	2532
76111	76	11.5553	967
47189	47	43.81378	3
25269	25	13.08555	2586
5154	5	52.40959	51
8433	8	31.8441	10
44430	44	68.35981	51
25290	25	17.44027	1728
41551	41	37.08127	1271
85001	85	24.47203	355
52356	52	30.6606	2897
15759	15	11.59993	2492
23417	23	64.69856	6
44847	44	96.04711	23
76147	76	15.68975	917
68547	68	14.35566	1009
13430	13	54.38706	20
68307	68	15.37061	703
