X	Y	Magnitud
984283,250000	1353196,890000	1,700000
984293,490000	1383057,740000	1,900000
985268,900000	804696,120000	1,800000
985279,140000	884312,300000	1,300000
985348,720000	1223803,810000	3,600000
987488,520000	759359,390000	2,300000
987498,050000	856667,400000	3,500000
987504,490000	909745,180000	2,200000
987505,210000	915274,150000	1,300000
987536,790000	1111004,430000	1,200000
988616,870000	923014,580000	1,400000
988618,510000	936284,150000	1,500000
988649,040000	1135333,030000	1,000000
988732,030000	1493655,490000	2,700000
989725,140000	900898,590000	1,300000
989760,970000	1161873,550000	2,400000
989770,580000	1216061,580000	2,400000
989803,610000	1377526,350000	1,500000
989814,070000	1422871,150000	2,200000
990860,860000	1113215,580000	1,300000
990863,550000	1132015,090000	1,600000
990873,330000	1196155,470000	2,400000
990904,250000	1368678,450000	1,500000
